,Name,DT Name,SnapPy Name,Stage 1,MDP,4DCrossCap (KnotInfo),4DCrossCap (Model)
0,3_1,3a_1,K3a1,Success,N/A,1,1
1,4_1,4a_1,K4a1,Fail,N/A,2,
2,5_1,5a_2,K5a2,Success,N/A,1,1
3,5_2,5a_1,K5a1,Success,N/A,1,1
4,6_1,6a_3,K6a3,Success,N/A,1,1
5,6_2,6a_2,K6a2,Success,N/A,1,1
6,6_3,6a_1,K6a1,Fail,N/A,2,
7,7_1,7a_7,K7a7,Success,N/A,1,1
8,7_2,7a_4,K7a4,Success,N/A,1,1
9,7_3,7a_5,K7a5,Success,N/A,1,1
10,7_4,7a_6,K7a6,Success,N/A,1,1
11,7_5,7a_3,K7a3,Fail,N/A,2,
12,7_6,7a_2,K7a2,Success,N/A,1,1
13,7_7,7a_1,K7a1,Fail,N/A,2,
14,8_1,8a_11,K8a11,Fail,N/A,2,
15,8_2,8a_8,K8a8,Fail,N/A,2,
16,8_3,8a_18,K8a18,Success,N/A,1,1
17,8_4,8a_17,K8a17,Success,N/A,1,1
18,8_5,8a_13,K8a13,Success,N/A,1,1
19,8_6,8a_10,K8a10,Success,N/A,1,1
20,8_7,8a_6,K8a6,Success,N/A,1,1
21,8_8,8a_4,K8a4,Success,N/A,1,1
22,8_9,8a_16,K8a16,Success,N/A,1,1
23,8_10,8a_3,K8a3,Success,N/A,1,1
24,8_11,8a_9,K8a9,Success,N/A,1,1
25,8_12,8a_5,K8a5,Fail,N/A,2,
26,8_13,8a_7,K8a7,Fail,N/A,2,
27,8_14,8a_1,K8a1,Success,N/A,1,1
28,8_15,8a_2,K8a2,Fail,N/A,2,
29,8_16,8a_15,K8a15,Success,N/A,1,1
30,8_17,8a_14,K8a14,Fail,N/A,2,
31,8_18,8a_12,K8a12,Fail,N/A,3,
32,8_19,8n_3,K8n3,Success,N/A,1,1
33,8_20,8n_1,K8n1,Success,N/A,1,1
34,8_21,8n_2,K8n2,Fail,N/A,2,
35,9_1,9a_41,K9a41,Success,N/A,1,1
36,9_2,9a_27,K9a27,Fail,N/A,2,
37,9_3,9a_38,K9a38,Success,N/A,1,1
38,9_4,9a_35,K9a35,Success,N/A,1,1
39,9_5,9a_36,K9a36,Success,N/A,1,1
40,9_6,9a_23,K9a23,Success,N/A,1,1
41,9_7,9a_26,K9a26,Success,N/A,1,1
42,9_8,9a_8,K9a8,Success,N/A,1,1
43,9_9,9a_33,K9a33,Success,N/A,1,1
44,9_10,9a_39,K9a39,Fail,N/A,2,
45,9_11,9a_20,K9a20,Fail,N/A,2,
46,9_12,9a_22,K9a22,Fail,N/A,2,
47,9_13,9a_34,K9a34,Success,N/A,1,1
48,9_14,9a_17,K9a17,Fail,N/A,2,
49,9_15,9a_10,K9a10,Success,N/A,1,1
50,9_16,9a_25,K9a25,Fail,N/A,2,
51,9_17,9a_14,K9a14,Success,N/A,1,1
52,9_18,9a_24,K9a24,Fail,N/A,2,
53,9_19,9a_3,K9a3,Success,N/A,1,1
54,9_20,9a_19,K9a19,Fail,N/A,2,
55,9_21,9a_21,K9a21,Success,N/A,1,1
56,9_22,9a_2,K9a2,Success,N/A,1,1
57,9_23,9a_16,K9a16,Success,N/A,1,1
58,9_24,9a_7,K9a7,Fail,N/A,2,
59,9_25,9a_4,K9a4,Success,N/A,1,1
60,9_26,9a_15,K9a15,Success,N/A,1,1
61,9_27,9a_12,K9a12,Success,N/A,1,1
62,9_28,9a_5,K9a5,Success,N/A,1,1
63,9_29,9a_31,K9a31,Success,N/A,1,1
64,9_30,9a_1,K9a1,Fail,N/A,2,
65,9_31,9a_13,K9a13,Success,N/A,1,1
66,9_32,9a_6,K9a6,Success,N/A,1,1
67,9_33,9a_11,K9a11,Fail,N/A,2,
68,9_34,9a_28,K9a28,Fail,N/A,2,
69,9_35,9a_40,K9a40,Success,N/A,1,1
70,9_36,9a_9,K9a9,Success,N/A,1,1
71,9_37,9a_18,K9a18,Fail,N/A,2,
72,9_38,9a_30,K9a30,Fail,N/A,2,
73,9_39,9a_32,K9a32,Fail,N/A,2,
74,9_40,9a_37,K9a37,Fail,N/A,2,
75,9_41,9a_29,K9a29,Fail,Success,1,1
76,9_42,9n_4,K9n4,Success,N/A,1,1
